Airline,Cancelled,CRSDepTime,CRSElapsedTime,Distance,Quarter,Month,DayofMonth,DayOfWeek,OriginAirportID,OriginStateName,OriginWac,DestAirportID,DestStateName,DestWac,CRSArrTime,DistanceGroup
9,False,1630,158.0,771.0,1,3,16,3,15412,41,54,11298,42,74,1808,4
19,False,2100,270.0,1703.0,1,2,20,7,11697,7,33,11292,5,82,2330,7
18,False,1650,110.0,634.0,1,3,24,4,12451,7,33,11278,47,38,1840,3
8,False,1000,119.0,660.0,3,7,22,5,12339,12,42,12953,30,22,1159,3
17,False,855,83.0,351.0,3,7,6,3,14107,2,81,11413,5,82,1118,2
8,False,2135,82.0,399.0,1,2,6,7,10397,8,34,13795,31,36,2257,2
2,False,1739,93.0,511.0,1,2,18,5,14761,7,33,15412,41,54,1912,3
11,False,1851,90.0,299.0,2,6,6,1,11423,13,61,13930,11,41,2021,2
18,False,1035,165.0,1044.0,2,5,15,7,13198,23,64,14107,2,81,1120,5
18,False,1520,115.0,639.0,2,5,1,7,11292,5,82,15376,2,81,1615,3
18,False,2040,60.0,189.0,1,2,9,3,11259,42,74,10423,42,74,2140,1
7,False,1640,142.0,761.0,1,1,31,1,10397,8,34,13851,34,73,1802,4
1,False,1425,120.0,605.0,1,2,13,7,14893,4,91,14747,48,93,1625,3
17,False,1229,94.0,383.0,2,5,28,6,10781,16,72,11298,42,74,1403,2
18,False,1050,175.0,1020.0,2,5,9,1,12191,42,74,14107,2,81,1145,5
12,False,1047,43.0,102.0,2,4,24,7,12173,9,2,12982,9,2,1130,1
7,False,2116,129.0,707.0,1,1,15,6,10397,8,34,13485,50,45,2225,3
18,False,1050,70.0,185.0,1,1,19,3,10821,18,35,12953,30,22,1200,1
20,False,515,148.0,862.0,1,2,26,6,11292,5,82,12266,42,74,843,4
20,False,800,392.0,2586.0,1,1,8,6,12478,30,22,14771,4,91,1132,11
17,False,1110,85.0,308.0,2,6,12,7,14831,4,91,12892,4,91,1235,2
4,False,2025,79.0,155.0,2,5,19,4,11057,31,36,14574,47,38,2144,1
7,False,1402,222.0,1640.0,1,1,16,7,10849,24,84,10397,8,34,1944,7
3,False,1304,104.0,507.0,1,1,23,7,11057,31,36,15304,7,33,1448,3
11,False,1529,108.0,515.0,3,7,1,5,11618,28,21,14231,17,12,1717,3
18,False,1830,230.0,1703.0,1,1,17,1,11292,5,82,11697,7,33,20,7
8,False,1100,92.0,254.0,2,5,7,6,12953,30,22,14576,30,22,1232,2
20,False,600,73.0,296.0,3,7,23,6,15096,30,22,12264,47,38,713,2
18,False,1825,85.0,369.0,1,1,11,2,14107,2,81,10800,4,91,1850,2
16,False,1449,91.0,441.0,1,2,21,1,10994,39,37,12264,47,38,1620,2
2,False,1022,128.0,782.0,3,7,4,1,15412,41,54,12191,42,74,1130,4
7,False,1735,259.0,1990.0,1,2,11,5,14869,45,87,12478,30,22,2354,8
6,True,1735,92.0,420.0,1,2,1,2,11292,5,82,12278,14,62,2007,2
2,False,1510,212.0,1619.0,2,4,22,5,12892,4,91,13244,41,54,2042,7
14,False,550,232.0,1608.0,1,3,6,7,11618,28,21,14843,37,3,1042,7
3,False,1057,356.0,2486.0,1,3,9,3,12892,4,91,13830,9,2,1453,10
5,False,1154,136.0,708.0,1,1,25,2,11057,31,36,13485,50,45,1310,3
19,False,1200,118.0,581.0,3,7,5,2,11697,7,33,10397,8,34,1358,3
17,False,820,88.0,373.0,2,4,1,5,12892,4,91,14893,4,91,948,2
20,False,927,180.0,977.0,1,1,12,3,13930,11,41,10423,42,74,1227,4
10,False,2328,217.0,1607.0,2,4,19,2,11292,5,82,14635,7,33,505,7
3,False,1557,67.0,255.0,1,2,4,5,14107,2,81,12889,26,85,1604,2
17,False,1954,159.0,809.0,2,5,29,7,12266,42,74,11109,5,82,2133,4
4,False,859,78.0,155.0,2,5,12,4,14574,47,38,11057,31,36,1017,1
18,False,1840,285.0,1838.0,1,1,8,6,13232,11,41,14831,4,91,2125,8
16,False,1020,83.0,214.0,1,1,8,6,12953,30,22,11278,47,38,1143,1
17,False,655,72.0,358.0,2,6,12,7,10779,24,84,14869,45,87,807,2
3,False,1034,347.0,2296.0,1,1,24,1,11057,31,36,14771,4,91,1321,10
7,False,1110,170.0,954.0,1,2,14,1,12892,4,91,14747,48,93,1400,4
