crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
136242,16,2,1,17,8,3,0,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,6,3,9
52626,16,2,3,10,8,3,0,1,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,3,4
101542,16,2,3,0,6,3,0,1,0,1,1,19,2,3,2.0,0.0,0.0,2.0,0.0,1.0,12,2,7
180105,16,2,3,17,8,3,5,5,1,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,3.0,15,5,12
132367,16,2,0,0,6,3,5,5,0,1,2,6,2,3,1.0,0.0,0.0,1.0,0.0,1.0,4,7,9
64667,16,7,1,17,2,3,6,1,1,1,1,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,22,6,5
66118,15,7,3,10,8,3,6,2,1,1,0,39,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,2,5
48829,16,2,3,17,8,3,0,1,0,1,2,24,2,4,1.0,0.0,0.0,0.0,1.0,1.0,7,6,4
58502,15,2,3,0,8,3,0,1,1,1,2,38,2,2,0.0,0.0,0.0,0.0,0.0,7.0,11,7,5
87654,16,2,3,0,6,3,0,1,0,1,2,3,2,2,0.0,0.0,0.0,0.0,0.0,3.0,14,6,6
45216,15,2,3,0,11,3,0,1,0,0,2,5,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9,5,4
30287,16,2,1,17,2,3,0,1,0,0,2,22,4,3,1.0,0.0,0.0,1.0,0.0,4.0,19,6,3
111553,15,2,1,0,8,3,0,1,0,1,2,18,2,3,2.0,0.0,0.0,2.0,0.0,2.0,23,4,8
